x_0,edge_index_0,edge_attr_0,y_0,name_0,idx_0
0,0,0,0,0,0
20,40,40,1,1,1
37,74,74,2,2,2
53,106,106,3,3,3
94,186,186,4,4,4
123,246,246,5,5,5
150,298,298,6,6,6
173,342,342,7,7,7
202,398,398,8,8,8
250,494,494,9,9,9
283,560,560,10,10,10
315,622,622,11,11,11
355,708,708,12,12,12
378,754,754,13,13,13
394,786,786,14,14,14
443,884,884,15,15,15
457,912,912,16,16,16
476,952,952,17,17,17
510,1022,1022,18,18,18
524,1048,1048,19,19,19
539,1076,1076,20,20,20
568,1136,1136,21,21,21
595,1188,1188,22,22,22
622,1244,1244,23,23,23
647,1294,1294,24,24,24
686,1374,1374,25,25,25
723,1450,1450,26,26,26
746,1498,1498,27,27,27
764,1534,1534,28,28,28
791,1586,1586,29,29,29
817,1636,1636,30,30,30
834,1672,1672,31,31,31
850,1704,1704,32,32,32
866,1736,1736,33,33,33
887,1778,1778,34,34,34
906,1816,1816,35,35,35
933,1870,1870,36,36,36
956,1916,1916,37,37,37
983,1970,1970,38,38,38
1005,2014,2014,39,39,39
1021,2046,2046,40,40,40
1040,2084,2084,41,41,41
1056,2116,2116,42,42,42
1086,2178,2178,43,43,43
1113,2230,2230,44,44,44
1141,2288,2288,45,45,45
1169,2342,2342,46,46,46
1184,2370,2370,47,47,47
1220,2442,2442,48,48,48
1248,2498,2498,49,49,49
1264,2530,2530,50,50,50
1280,2562,2562,51,51,51
1296,2594,2594,52,52,52
1307,2614,2614,53,53,53
1331,2660,2660,54,54,54
1354,2708,2708,55,55,55
1374,2746,2746,56,56,56
1391,2778,2778,57,57,57
1407,2810,2810,58,58,58
1436,2870,2870,59,59,59
1468,2934,2934,60,60,60
1494,2986,2986,61,61,61
1505,3008,3008,62,62,62
1518,3034,3034,63,63,63
1566,3134,3134,64,64,64
1583,3168,3168,65,65,65
1605,3210,3210,66,66,66
1629,3256,3256,67,67,67
1648,3292,3292,68,68,68
1668,3330,3330,69,69,69
1689,3370,3370,70,70,70
1710,3410,3410,71,71,71
1727,3442,3442,72,72,72
1749,3484,3484,73,73,73
1785,3556,3556,74,74,74
1814,3614,3614,75,75,75
1830,3648,3648,76,76,76
1891,3776,3776,77,77,77
1925,3844,3844,78,78,78
1962,3918,3918,79,79,79
1988,3970,3970,80,80,80
2017,4026,4026,81,81,81
2057,4106,4106,82,82,82
2083,4156,4156,83,83,83
2114,4218,4218,84,84,84
2136,4264,4264,85,85,85
2168,4330,4330,86,86,86
2185,4364,4364,87,87,87
2205,4404,4404,88,88,88
2220,4434,4434,89,89,89
2240,4476,4476,90,90,90
2257,4508,4508,91,91,91
2302,4602,4602,92,92,92
2347,4694,4694,93,93,93
2381,4762,4762,94,94,94
2416,4830,4830,95,95,95
2454,4908,4908,96,96,96
2481,4960,4960,97,97,97
2506,5008,5008,98,98,98
2523,5040,5040,99,99,99
2538,5068,5068,100,100,100
2556,5104,5104,101,101,101
2570,5132,5132,102,102,102
2589,5170,5170,103,103,103
2613,5218,5218,104,104,104
2639,5272,5272,105,105,105
2662,5316,5316,106,106,106
2688,5370,5370,107,107,107
2709,5410,5410,108,108,108
2731,5456,5456,109,109,109
2776,5550,5550,110,110,110
2816,5634,5634,111,111,111
2835,5674,5674,112,112,112
2864,5732,5732,113,113,113
2877,5758,5758,114,114,114
2893,5790,5790,115,115,115
2906,5818,5818,116,116,116
2915,5834,5834,117,117,117
2924,5852,5852,118,118,118
2949,5902,5902,119,119,119
2966,5936,5936,120,120,120
2981,5966,5966,121,121,121
2994,5990,5990,122,122,122
3027,6056,6056,123,123,123
3060,6120,6120,124,124,124
3076,6150,6150,125,125,125
3093,6182,6182,126,126,126
3108,6212,6212,127,127,127
3136,6268,6268,128,128,128
3159,6312,6312,129,129,129
