CID,MolecularWeight,IsomericSMILES,IUPACName,name,Descriptors
4,75.11,CC(CN)O,1-aminopropan-2-ol,1-aminopropan-2-ol,fishy
49,116.11,CC(C)C(=O)C(=O)O,3-methyl-2-oxobutanoic acid,3-methyl-2-oxobutanoic acid,fruity
51,146.1,C(CC(=O)O)C(=O)C(=O)O,2-oxopentanedioic acid,2-ketoglutaric acid,odorless
58,102.09,CCC(=O)C(=O)O,2-oxobutanoic acid,2-oxobutanoic acid,sweet;caramellic;creamy;brown;lactonic
70,130.14,CC(C)CC(=O)C(=O)O,4-methyl-2-oxopentanoic acid,4-methyl-2-oxopentanoic acid,fruity
72,154.12,C1=CC(=C(C=C1C(=O)O)O)O,"3,4-dihydroxybenzoic acid","3,4-dihydroxybenzoic acid",phenolic;balsamic
107,150.17,C1=CC=C(C=C1)CCC(=O)O,3-phenylpropanoic acid,hydrocinnamic acid,sweet;fatty;cinnamon;floral;rose;musk
119,103.12,C(CC(=O)O)CN,4-aminobutanoic acid,4-aminobutyric acid,savory;meaty
125,124.14,C1=CC(=CC=C1CO)O,4-(hydroxymethyl)phenol,4-hydroxybenzyl alcohol,sweet;fruity;almond bitter almond;coconut
126,122.12,C1=CC(=CC=C1C=O)O,4-hydroxybenzaldehyde,4-hydroxybenzaldehyde,sweet;vanilla;metallic;honey;nutty;balsamic;brown;almond;woody
135,138.12,C1=CC(=CC=C1C(=O)O)O,4-hydroxybenzoic acid,4-hydroxybenzoic acid,nutty;phenolic
176,60.05,CC(=O)O,acetic acid,acetic acid,sour;acidic;vinegar;pungent;sharp
177,44.05,CC=O,acetaldehyde,acetaldehyde,musty;aldehydic;fruity;fresh;ethereal;pungent
178,59.07,CC(=O)N,acetamide,acetamide,bland
179,88.11,CC(C(=O)C)O,3-hydroxybutan-2-one,acetoin,sweet;fatty;creamy;milky;dairy;buttery
180,58.08,CC(=O)C,propan-2-one,acetone,apple;solvent;pear;ethereal
196,146.14,C(CCC(=O)O)CC(=O)O,hexanedioic acid,adipic acid,odorless
222,17.031,N,azane,ammonia,ammoniacal
229,150.13,C1C(C(C(C(O1)O)O)O)O,"oxane-2,3,4,5-tetrol",pentopyranose,odorless
239,89.09,C(CN)C(=O)O,3-aminopropanoic acid,beta-alanine,odorless
240,106.12,C1=CC=C(C=C1)C=O,benzaldehyde,benzaldehyde,sweet;cherry;cherry maraschino cherry;nutty;fruity;powdery;almond;bitter;sharp
243,122.12,C1=CC=C(C=C1)C(=O)O,benzoic acid,benzoic acid,urine;balsamic
244,108.14,C1=CC=C(C=C1)CO,phenylmethanol,benzyl alcohol,sweet;floral;rose;fruity;phenolic;balsamic;chemical
261,72.11,CCCC=O,butanal,butyraldehyde,malty;musty;cocoa;bready;green;pungent;chocolate
262,90.12,CC(C(C)O)O,"butane-2,3-diol","2,3-butanediol",creamy;buttery;fruity
263,74.12,CCCCO,butan-1-ol,1-butanol,sweet;fermented;oily;whiskey;fusel;balsamic
264,88.11,CCCC(=O)O,butanoic acid,butyric acid,acetic;fruity;dairy;cheesy;buttery;sharp
280,44.009,C(=O)=O,,carbon dioxide,odorless
284,46.025,C(=O)O,formic acid,formic acid,fermented;acetic;fruity;vinegar;pungent;sharp
307,132.16,C1=CC=C(C=C1)C=CC=O,3-phenylprop-2-enal,3-phenylprop-2-enal,sweet;aldehydic;resinous;spicy;cinnamon;cassia;honey;cinnamyl;powdery;balsamic;aromatic
308,134.17,C1=CC=C(C=C1)C=CCO,3-phenylprop-2-en-1-ol,trans-cinnamic alcohol,sweet;fermented;spicy;cinnamon;floral;powdery;cinnamyl;balsamic;green;hyacinth
309,174.11,C(C(=CC(=O)O)C(=O)O)C(=O)O,"prop-1-ene-1,2,3-tricarboxylic acid",aconitic acid,dry;musty;vegetable;nutty;toasted
311,192.12,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,"2-hydroxypropane-1,2,3-tricarboxylic acid",citric acid,odorless
323,146.14,C1=CC=C2C(=C1)C=CC(=O)O2,chromen-2-one,coumarin,sweet;hay;new mown hay;tonka
325,150.22,CC(C)C1=CC=C(C=C1)CO,(4-propan-2-ylphenyl)methanol,4-isopropylbenzyl alcohol,spicy;herbal;leathery;cumin;caraway
326,148.2,CC(C)C1=CC=C(C=C1)C=O,4-propan-2-ylbenzaldehyde,4-isopropylbenzaldehyde,herbal;spicy;cumin;green
332,150.17,COC1=C(C=CC(=C1)C=C)O,4-ethenyl-2-methoxyphenol,2-methoxy-4-vinylphenol,spicy;peppery;smoky;powdery;phenolic;carnation;woody;clove
335,108.14,CC1=CC=CC=C1O,2-methylphenol,o-cresol,musty;medicinal;plastic;herbal;phenolic;leathery
338,138.12,C1=CC=C(C(=C1)C(=O)O)O,2-hydroxybenzoic acid,salicylic acid,nutty;phenolic
342,108.14,CC1=CC(=CC=C1)O,3-methylphenol,m-cresol,woody;phenolic;medicinal;leathery
379,144.21,CCCCCCCC(=O)O,octanoic acid,octanoic acid,vegetable;rancid;fatty;oily;cheesy;waxy
402,34.08,S,sulfane,hydrogen sulfide,sulfurous
402,34.08,S,sulfane,hydrogen sulfide,egg;rotten
424,133.1,C(C(C(=O)O)N)C(=O)O,2-aminobutanedioic acid,dl-aspartic acid,odorless
454,128.21,CCCCCCCC=O,octanal,octanal,aldehydic;fatty;herbal;orange peel;peely;fresh;orange;green;citrus;waxy
460,124.14,COC1=CC=CC=C1O,2-methoxyphenol,guaiacol,vanilla;meaty;spicy;medicinal;smoky;savory;phenolic;woody
525,134.09,C(C(C(=O)O)O)C(=O)O,2-hydroxybutanedioic acid,malic acid,odorless
527,58.08,CCC=O,propanal,propionaldehyde,meaty;cocoa;pungent;nutty;winey;cognac;grape;whiskey;ethereal;earthy;alcoholic;brandy
563,120.17,CSCCC(=O)O,3-methylsulfanylpropanoic acid,3-(methylthio)propionic acid,sweet;sulfurous
602,89.09,CC(C(=O)O)N,2-aminopropanoic acid,dl-alanine,odorless
612,90.08,CC(C(=O)O)O,2-hydroxypropanoic acid,lactic acid,odorless
650,86.09,CC(=O)C(=O)C,"butane-2,3-dione","2,3-butanedione",sweet;caramellic;creamy;pungent;buttery
660,148.16,C1CC(=O)OC2=CC=CC=C21,"3,4-dihydrochromen-2-one",dihydrocoumarin,sweet;vanilla;spicy;cinnamon;herbal;coconut;creamy;coumarinic;balsamic;tonka
670,90.08,C(C(=O)CO)O,"1,3-dihydroxypropan-2-one","1,3-dihydroxyacetone",minty
679,78.14,CS(=O)C,methylsulfinylmethane,dimethyl sulfoxide,mushroom;fatty;garlic;alliaceous;oily;cheesy;salty
702,46.07,CCO,ethanol,ethanol,alcoholic;medicinal;ethereal
723,116.07,C(=CC(=O)O)C(=O)O,but-2-enedioic acid,butenedioic acid,odorless
743,132.11,C(CC(=O)O)CC(=O)O,pentanedioic acid,glutaric acid,odorless
